strainID	genus	family	order	class	phylum	kingdom
Root187		Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root189	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root190	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root209		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root214	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root217	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root219	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root224	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root227		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root231	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root236	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root239	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root240	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root241	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root258	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root264	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root265	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root267	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root268	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root274		Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root275	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root278	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root322	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root329	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root332		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root335	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root342	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root343	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root344	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root351	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root369	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root381	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root401	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root402	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root404		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root405		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root411	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root418	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root420	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Root423	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root431	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root434	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root436		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root456		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root473	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root480		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root482	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root485	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root491	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root494		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root495	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root552	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root553		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root554	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root558	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root559		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root561	Rhodanobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root562	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root563	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root564	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root565	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root568		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root569	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root604		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root608	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root614		Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root627	Rhodanobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root630	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root635		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root651	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root655	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root656	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root662		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root667		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root670	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root672	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root682		Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root685		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root690		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root695	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root700		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root708	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root710	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root720	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root901	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Root916		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root918		Promicromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root920	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root930		Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root935	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Root954	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root983		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root1203	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1204	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1212	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1217		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1220	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1221		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1237		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1238		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1240	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1252	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1257	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1272		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1277		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1279	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1280	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root1290		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1293		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1294	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1295	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1298	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1304	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1310	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1312	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1319	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1334	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1423	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1444		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1455	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1462		Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1464	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1471	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1472	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1485	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root1497	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root112D2		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root123D2	Afipia	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root1433D1	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root1480D1		Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root16D2		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root198D2		Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root280D1	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root318D1	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root336D2		Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root413D1		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root444D2	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root472D3		Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root483D1	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root483D2	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root487D2Y	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root66D1	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil522	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil531	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil535	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil538	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil728	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil729		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil736	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil745	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil748	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil750	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil756	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil761	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil762	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil763	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil764	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil766	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil772	Rhodanobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Soil773	Rhodanobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Soil774	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil777	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil782	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil787	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil796	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil797	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil802	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil803	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil805	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil809		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil810		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil811		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Soil724D2	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Soil768D1	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjNodule209	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule210	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule211	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule212	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule213	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule214	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule215	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule217	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjNodule218	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot1	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot2	Shinella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot3	Devosia	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot4	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot5	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot6	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot7	Aminobacter	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot8	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot9	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot10	Ensifer	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot11	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot12	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot13	Pseudarthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot14	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot15	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot16	Devosia	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot17	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot18	Dyella	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot19	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot20	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot21	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot22	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot23	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot24		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot25	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot26	Pseudorhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot27		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot28		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot29	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot30	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot31	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot32	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot33	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot34	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot35	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot36	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot37	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot38	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot39	Pseudorhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot40	Pseudorhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot41	Pseudorhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot42	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot43	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot44	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot45	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot46	Shinella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot47		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot48		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot49		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot50	Shinella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot51	Shinella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot52	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot53	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot54	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot55	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot56	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot57	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot58	Rhizobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot59	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot60	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot61	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot62	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot63	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot64	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot65	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot66	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot67	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot68	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot69	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot70	Pseudoduganella	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot71	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot72	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot73	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot74	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot75	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot76	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot77	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot78	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
